ID,Player,Alignment,Faction Outcome,First Hit,Last Hit,# of Hits,"Death/
 Survival",Inactive,GM,Mod,Spec,Game Type,Game #,,Broken,Role,,,,,,,,
1,Meta,,,,,,,,Y,,,LG,1,LG1,,GM,Roles that are unique and don't fit,,Unfinished,Alignment,Victory,Hits,Survival,
2,Cracknut,G,L,1,1,1,E,,,,,LG,1,LG1,,Tineye,MR1/LG8/MR7 need work,,QF7,0,0,13,0,
3,Edgedancer,G,L,2,2,1,L,,,,,LG,1,LG1,,Cop,,,MR6,0,0,25,0,
4,Mailliw73,G,L,4,4,1,L,,,,,LG,1,LG1,,Regular,,,LG12,0,0,2,0,
5,Aether,E,W,4,4,1,V,,,,,LG,1,LG1,,Smoker,,,QF8,0,0,22,0,
6,Claincy,E,W,,,0,S,,,,,LG,1,LG1,,Vote Cancel,,,MR7,0,0,27,12,
7,Gamma,G,L,,,0,S,,,,,LG,1,LG1,,Regular,,,LG13,0,0,27,0,
8,Kurkistan,G,L,4,4,1,E,,,,,LG,1,LG1,,Kill,,,QF9,0,0,18,0,
9,bartbug,E,W,,,0,S,,,,,LG,1,LG1,,Regular,,,MR8,0,0,26,0,
10,dyring,G,L,3,3,2,L,,,,,LG,1,LG1,,Double Life,,,LG14,0,0,23,0,
11,Quiver,G,L,3,3,2,E,,,,,LG,1,LG1,,Protect,,,QF10,0,0,21,0,
12,little wilson,G,L,,,0,S,,,,,LG,1,LG1,,Regular,,,MR9,0,0,27,0,
13,Oudeis/Darnam,G,L,,,0,S,,,,,LG,1,LG1,,Regular,,,LG15.2,0,0,30,0,
14,loganmathewjohnson,E,W,,,0,S,,,,,LG,1,LG1,,Jack of All Trades,,,QF11,0,0,14,0,
15,Grayv,G,L,1,1,1,L,,,,,LG,1,LG1,,Smoker,,,QF12,0,0,18,0,
16,Peng,G,L,2,2,1,E,,,,,LG,1,LG1,,Regular,,,LG16,0,0,18,0,
17,PorridgeBrick,G,L,4,4,1,E,,,,,LG,1,LG1,,Vote Change,,,MR11,0,0,18,0,
18,Windy,,,,,,,,,,Y,LG,1,LG1,,Spec,,,LG17,0,0,20,0,
19,Weiry,,,,,,,,,,Y,LG,1,LG1,,Spec,,,QF13,0,0,17,0,
20,Alvron,,,,,,,,,,Y,LG,1,LG1,,Spec,,,MR12,0,0,26,0,
21,Meta,,,,,,,,Y,,,LG,2,LG2,,GM,,,QF14,0,0,23,0,
22,Cracknut,G,L,3,3,1,L,,,,,LG,2,LG2,,Regular,,,MR13,0,0,19,0,
23,Edgedancer,G,L,4,4,1,L,,,,,LG,2,LG2,,Regular,,,QF15,0,0,22,0,
24,Mailliw73,G,L,5,5,1,E,,,,,LG,2,LG2,,Vote Cancel,,,LG21,0,0,26,1,
25,Aether,G,L,,,0,S,,,,,LG,2,LG2,,Double Life,,,MR14,0,0,18,0,
26,Claincy,G,L,1,1,1,F,,,,,LG,2,LG2,,Regular,,,LG22,0,0,23,1,
27,Gamma,B,W,9,9,1,V,,,,,LG,2,LG2,,Vote Cancel,,,MR15,0,0,17,1,
28,Kurkistan,G,L,8,8,1,E,,,,,LG,2,LG2,,Regular,,,MR17,0,0,1,1,
29,bartbug,G,L,9,9,1,E,,,,,LG,2,LG2,,Tineye,,,LG37,0,0,34,33,
