Game Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LG1,LG2,LG3,LG4,QF1,LG5,MR1,LG6,QF2,LG7,MR2,LG8,QF3,MR3,LG9,QF4,MR4,QF5,AG1,LG10,QF6,MR5,LG11,QF7,MR6,LG12,QF8,MR7,LG13,QF9,MR8,LG14,QF10,MR9,LG15.1,LG15.2,QF11,MR10,AG2,QF12,LG16,MR11,LG17,QF13,LG18,MR12,LG19,QF14,MR13,LG20,QF15,LG21,MR14,LG22,QF16,LG23,MR15,LG24,QF17,LG25,MR16,LG26,QF18,MR17,LG27,QF19,LG28,MR18,QF20,LG29,MR19,AG3,QF21,LG30,MR20,LG31,QF22,LG32,MR21,LG33,QF23,MR22,LG34,QF24,LG35,MR23,LG36,QF25,LG37,MR24,LG38,QF26,QF27,LG39,MR25,LG40,QF28,MR26,LG41,AG4,QF29,MR27,LG42,QF30,LG43,MR28,LG44,LG45,QF31,MR29,LG46,QF32,LG47,MR30,LG48,QF33.1,QF33.2,LG49,MR31,QF34,LG50,MR32,LG51,QF35,AG5,MR33,LG52,QF36,LG53,MR34,LG54,QF37,LG55,MR35,LG56,QF38,LG57,MR36,LG58,QF39,LG59,MR37,LG60,QF40.1,QF40.2,MR38.1,LG61,MR38.2,QF41,LG62,MR39,AG6,QF42,MR40,LG63,QF43,LG64,MR41,LG65,QF44,MR42,LG66,QF45,LG67,MR43,QF46,LG68,MR44,LG69,QF47,LG70,MR45,LG71,QF48,MR46,LG72,QF49,MR47
# of Players,16,29,22,30,12,20,27,25,15,21,18,20,14,15,15,14,20,21,28,29,20,29,32,17,27,36,22,27,27,19,29,28,21,27,26,32,17,36,28,19,19,18,21,17,24,26,17,23,19,28,22,27,18,28,17,27,19,28,25,24,22,35,15,21,22,24,34,19,23,29,20,34,16,22,21,17,22,30,18,27,20,20,21,17,28,22,21,24,34,26,32,31,20,25,20,27,23,16,17,37,16,17,20,17,25,19,29,22,12,20,27,15,16,14,19,19,19,25,22,17,22,20,19,21,30,14,18,15,24,13,17,14,21,17,17,20,13,17,19,22,13,15,14,14,15,18,15,15,14,16,15,24,12,14,15,16,16,14,27,22,32,23,22,25,18,21,20,13,,,,,,,,,,
Total Rank,132,16,59,13,166,84,29,43,140,73,110,84,152,140,140,152,84,73,22,16,84,16,8,117,29,2,59,29,29,98,16,22,73,29,40,8,117,2,22,98,98,110,73,117,49,40,117,55,98,22,59,29,110,22,117,29,98,22,43,49,59,4,140,73,59,49,5,98,55,16,84,5,132,59,73,117,59,13,110,29,84,84,73,117,22,59,73,49,5,40,8,12,84,43,84,29,55,132,117,1,132,117,84,117,43,98,16,59,166,84,29,140,132,152,98,98,98,43,59,117,59,84,98,73,13,152,110,140,49,162,117,152,73,117,117,84,162,117,98,59,162,140,152,152,140,110,140,140,152,132,140,49,166,152,140,132,132,152,29,59,8,55,59,43,110,73,84,162,,,,,,,,,,
# of Spectators,3,2,5,1,11,2,4,5,9,4,2,5,4,4,5,4,2,6,6,8,17,9,8,22,19,4,22,18,13,18,11,18,21,15,16,9,20,8,18,22,18,19,13,18,17,14,21,15,16,10,16,13,16,10,22,10,15,1,1,1,0,0,2,0,2,2,5,3,4,3,1,2,2,2,1,3,3,2,1,1,1,2,0,1,1,0,1,7,7,5,2,0,1,1,10,10,13,13,16,9,20,18,14,15,8,12,6,6,3,4,8,4,1,8,4,0,0,1,0,0,3,1,3,0,8,2,0,1,0,0,3,2,1,3,3,5,4,5,6,2,0,2,2,1,0,6,0,9,8,3,0,1,0,2,0,0,0,0,2,0,4,0,0,0,2,0,0,0,,,,,,,,,,
Rank,85,97,65,118,37,97,73,65,44,73,97,65,73,73,65,73,97,59,59,49,18,44,49,1,9,73,1,11,31,11,37,11,5,25,20,44,7,49,11,1,11,9,31,11,18,29,5,25,20,39,20,31,20,39,1,39,25,118,118,118,139,139,97,139,97,97,65,85,73,85,118,97,97,97,118,85,85,97,118,118,118,97,139,118,118,139,118,57,57,65,97,139,118,118,39,39,31,31,20,44,7,11,29,25,49,36,59,59,85,73,49,73,118,49,73,139,139,118,139,139,85,118,85,139,49,97,139,118,139,139,85,97,118,85,85,65,73,65,59,97,139,97,97,118,139,59,139,44,49,85,139,118,139,97,139,139,139,139,97,139,73,139,139,139,97,139,139,139,,,,,,,,,,
# of E. Kills,5,14,3,4,3,4,0,11,7,5,0,9,4,6,3,4,3,0,9,7,3,0,8,6,14,3,6,0,5,6,11,6,9,7,0,6,5,14,11,4,5,4,7,4,0,2,6,2,7,6,7,3,3,7,5,5,2,7,0,7,0,3,5,3,0,6,9,6,8,2,2,14,0,7,10,3,6,5,6,2,4,7,5,3,6,0,4,13,0,6,0,0,4,7,7,0,6,3,4,13,6,5,0,3,1,5,4,0,2,2,9,3,7,0,4,0,0,0,1,4,4,6,5,0,0,2,6,0,5,4,7,4,5,3,4,0,3,0,3,1,1,5,4,2,4,0,5,0,4,0,5,7,2,6,6,6,0,2,0,7,11,0,7,6,6,6,4,5,,,,,,,,,,
# of Neutral Evil Kils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,
# of V. Kills,1,2,1,4,0,2,0,0,0,1,0,0,1,0,1,0,3,0,0,3,0,0,0,1,1,5,1,0,2,0,1,1,0,2,0,3,0,1,0,1,0,0,1,2,4,2,4,3,0,2,0,0,2,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,4,0,1,0,0,0,1,0,0,0,,,,,,,,,,
# of Lynches,4,7,7,8,3,7,5,8,3,5,4,5,5,4,6,4,4,0,6,7,6,7,6,5,2,9,12,1,6,6,8,12,8,10,0,10,2,7,6,4,7,6,5,4,0,4,4,0,3,7,6,2,4,11,7,9,6,9,7,6,6,6,6,5,6,7,10,7,8,6,3,11,8,1,9,2,4,8,5,0,7,8,9,5,8,6,4,6,0,8,1,6,6,7,7,8,6,5,6,10,3,6,3,8,2,4,8,0,2,4,10,4,2,5,5,0,0,0,5,6,6,5,7,0,5,3,6,0,6,8,4,7,8,7,6,1,3,4,7,12,3,5,5,0,3,3,6,5,4,0,7,6,4,6,8,7,6,0,1,7,10,0,7,7,4,14,5,4,,,,,,,,,,
# of FF Deaths,0,2,3,4,0,1,4,2,0,1,0,1,0,0,1,0,1,0,3,0,0,0,4,3,1,3,2,0,4,0,3,5,0,2,0,5,0,5,0,1,3,0,0,0,2,0,0,5,1,5,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,1,1,0,2,0,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,,,,,,,,,,
# of Neutral Deaths,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,20,0,0,0,17,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,7,4,0,13,0,2,3,4,0,1,0,7,0,3,18,2,11,6,0,1,8,1,0,0,0,2,2,0,0,0,0,1,0,0,0,7,0,0,1,0,0,8,2,0,0,2,3,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
